StorageId,PlantCode,PlantName,StorageType,State,County,LoadZone,Zone,PowerMW,EnergyMWh,AssignedBus,PlantLatitude,PlantLongitude,AssignedBusLatitude,AssignedBusLongitude,MappingMethod,DataSource
S12,62644,Minuteman Energy Storage,BES,MA,Middlesex,NEMA/Boston,SENE,5.0,10.0,234,42.567614,-71.098131,42.580492,-71.18972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S13,64970,59 Federal Rd(CSG),BES,MA,Plymouth,SEMA,SENE,5.0,20.5,219,41.828475,-70.721206,41.844544,-70.705984,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S14,64763,Rumford ESS,BES,ME,Oxford,ME,Maine,4.9,10.0,8,44.532169,-70.518959,44.443984,-70.345799,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S15,64765,Madison ESS,BES,ME,Somerset,ME,Maine,4.9,10.0,211,44.793,-69.876,44.753589,-69.952129,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S16,64696,"Dunstable Solar 1, LLC",BES,MA,Middlesex,NEMA/Boston,SENE,4.5,20.2,234,42.6656,-71.5168,42.580492,-71.18972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S17,64759,Old Middleboro Road Solar,BES,MA,Plymouth,SEMA,SENE,4.5,13.4,219,41.793,-70.820306,41.844544,-70.705984,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S18,63044,Ryan Road Solar LLC Hybrid(CSG),BES,MA,Worcester,WCMA,ROP,4.3,14.0,250,42.2637,-72.0639,42.253576,-72.210192,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S19,62969,Syncarpha Puddon I Hybrid CSG,BES,MA,Worcester,WCMA,ROP,4.0,8.0,24,42.139492,-71.633132,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S20,62970,Syncarpha Puddon II Hybrid CSG,BES,MA,Worcester,WCMA,ROP,4.0,8.0,24,42.133867,-71.631045,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S21,62977,Syncarpha Northbridge I Hybrid(CSG),BES,MA,Worcester,WCMA,ROP,4.0,8.0,24,42.11239,-71.648261,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S22,62975,Syncarpha Blandford Hybrid CSG,BES,MA,Hampden,WCMA,ROP,3.9,7.9,249,42.213074,-72.938863,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S23,62974,Syncarpha Millbury Hybrid (CSG),BES,MA,Worcester,WCMA,ROP,3.8,7.9,24,42.175203,-71.793031,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S24,65015,ASD Wallum MA Solar LLC(CSG),BES,MA,Worcester,WCMA,ROP,3.8,12.8,24,42.011623,-71.760489,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S25,64182,"BWC Lake Lashaway, LLC Hybrid",BES,MA,Worcester,WCMA,ROP,3.7,9.0,24,42.24,-72.0555,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S26,64213,Auburn Solar Project,BES,MA,Worcester,WCMA,ROP,3.7,9.4,24,42.13,-71.87,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S27,63474,Annese Solar Project Hybrid CSG,BES,MA,Worcester,WCMA,ROP,3.5,6.7,24,42.0755,-72.0052,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S28,66180,Huxley Solar,BES,MA,Hampden,WCMA,ROP,3.5,3.5,200,42.197564,-72.48015,42.179254,-72.45607,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S29,64147,ZPD-PT Solar Project 2017-038 Hybrid LLC,BES,MA,Worcester,NEMA/Boston,SENE,3.5,6.7,123,42.516,-71.6734,42.458919,-71.253844,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S30,62652,Happy Hollow CSG Hybrid,BES,MA,Worcester,WCMA,ROP,3.3,6.6,176,42.606995,-72.045291,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S31,63805,Williamsville Hybrid CSG,BES,MA,Worcester,WCMA,ROP,3.3,6.7,176,42.469505,-72.069781,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S32,68743,Adams Grove Solar,BES,MA,Berkshire,WCMA,ROP,3.3,3.3,98,42.60783,-73.135655,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S33,64875,276 Federal Rd(CSG),BES,MA,Plymouth,SEMA,SENE,3.3,6.9,219,41.805144,-70.725244,41.844544,-70.705984,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S34,65056,160 Tihonet Rd Hybrid(CSG),BES,MA,Plymouth,SEMA,SENE,3.3,6.9,167,41.793414,-70.712667,41.807844,-70.709968,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S35,63475,Randall Solar Project Hybrid,BES,MA,Worcester,NEMA/Boston,SENE,3.2,6.0,120,42.3921,-71.6611,42.303376,-71.353813,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S36,64000,Amaterasu LLC,BES,MA,Worcester,NEMA/Boston,SENE,3.2,6.0,123,42.519282,-71.6734,42.458919,-71.253844,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S37,60906,Mt. Tom Solar Project Hybrid,BES,MA,Hampden,WCMA,ROP,3.1,6.1,249,42.2686,-72.603,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S38,66727,Georgia Ballard BESS,BES,VT,Franklin,VT,NNE,3.0,10.0,3,44.697674,-73.124673,44.563176,-72.838829,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S39,66728,Springfield BESS,BES,VT,Windsor,VT,NNE,3.0,10.0,43,43.329411,-72.524102,43.417432,-72.844855,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S40,62219,Ashburnham Energy Storage Project,BES,MA,Worcester,WCMA,ROP,3.0,3.0,176,42.671444,-71.926696,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S41,62978,Syncarpha Northbridge II Hybrid CSG,BES,MA,Worcester,WCMA,ROP,3.0,6.0,24,42.115652,-71.644047,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S42,64129,East Brookfield Adams Road Solar LLC CSG,BES,MA,Worcester,WCMA,ROP,3.0,6.3,24,42.196032,-72.03084,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S43,64664,"Clark Road Solar 1, LLC",BES,MA,Worcester,WCMA,ROP,3.0,3.0,176,42.59613,-72.020244,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S44,64726,West Haydenville PJ Community Solar,BES,MA,Hampshire,WCMA,ROP,3.0,8.0,98,42.3831,-72.7111,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S45,68679,Partridge Solar,BES,MA,Berkshire,WCMA,ROP,3.0,3.0,98,42.49,-73.214,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S46,68742,Skyline Solar,BES,MA,Berkshire,WCMA,ROP,3.0,3.0,98,42.50277,-73.22821,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S47,1682,Cleary Flood Hybrid,BES,MA,Bristol,SEMA,SENE,3.0,6.0,82,41.8653,-71.1061,41.863403,-71.087626,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S48,62585,Beebe Substation Battery Storage,BES,MA,Middlesex,NEMA/Boston,SENE,3.0,3.0,244,42.48791,-71.047813,42.453465,-70.963045,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S49,64727,Brookwood Drive Community Solar,BES,MA,Bristol,SEMA,SENE,3.0,8.0,80,41.59,-71.0942,41.698508,-71.114972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S50,62971,Syncarpha Westminster Hybrid CSG,BES,MA,Worcester,WCMA,ROP,2.9,6.0,176,42.593028,-71.865824,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S51,63470,McDougle-Mitchell Solar Project Hybrid C,BES,MA,Worcester,WCMA,ROP,2.9,5.7,24,42.1649,-72.0014,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S52,63214,Middleton Solar Park,BES,MA,Essex,NEMA/Boston,SENE,2.7,6.6,231,42.581678,-70.998672,42.545683,-70.957839,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S53,63763,CES Agawam Tuckahoe Solar Hybrid,BES,MA,Hampden,WCMA,ROP,2.6,5.2,200,42.059,-72.691,42.179254,-72.45607,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S54,64617,Kearsarge William Way,BES,MA,Norfolk,NEMA/Boston,SENE,2.6,9.5,220,42.081919,-71.492448,42.184993,-71.342952,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S55,64395,ZPD-PT Solar Project 2017-006 LLC Hybrid,BES,MA,Worcester,WCMA,ROP,2.5,5.0,250,42.23,-72.21,42.253576,-72.210192,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S56,68680,Saddleback Solar,BES,MA,Berkshire,WCMA,ROP,2.5,2.5,98,42.536,-73.229,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S57,64436,Wilmarth Solar,BES,MA,Norfolk,SEMA,SENE,2.3,4.6,87,42.025049,-71.353545,41.793152,-71.203873,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S58,64432,Breckenridge Solar,BES,MA,Hampden,WCMA,ROP,2.2,4.7,200,42.17406,-72.315802,42.179254,-72.45607,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S59,64627,Blodgett Solar CSG,BES,MA,Middlesex,NEMA/Boston,SENE,2.2,4.9,234,42.678889,-71.445111,42.580492,-71.18972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S60,64731,Maple(CSG),BES,MA,Norfolk,NEMA/Boston,SENE,2.2,4.8,203,42.062793,-71.264331,42.180223,-71.284856,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S61,64876,0 Hammond St CSG,BES,MA,Plymouth,SEMA,SENE,2.2,4.9,219,41.808547,-70.726675,41.844544,-70.705984,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S62,65055,77 Farm to Market Rd Hybrid(CSG),BES,MA,Plymouth,SEMA,SENE,2.2,4.8,167,41.79455,-70.723394,41.807844,-70.709968,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S63,65057,299 Farm to Market Rd Hybrid(CSG),BES,MA,Plymouth,SEMA,SENE,2.2,4.9,167,41.795092,-70.727036,41.807844,-70.709968,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S64,66966,Acton-Boxborough Schools BESS,BES,MA,Middlesex,NEMA/Boston,SENE,2.1,4.3,123,42.479555,-71.458077,42.458919,-71.253844,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S65,60518,Stafford Hill Solar Hybrid,BES,VT,Rutland,VT,NNE,2.0,3.4,39,43.619444,-72.950277,43.671667,-72.803046,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S66,62381,GMP Solar/Storage-Milton Hybrid,BES,VT,Chittenden,VT,NNE,2.0,8.0,3,44.392141,-73.10233,44.563176,-72.838829,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S67,62382,GMP Solar/Storage-Ferrisburgh Hybrid,BES,VT,Addison,VT,NNE,2.0,8.0,30,44.133411,-73.144064,44.129898,-72.852348,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S68,62383,GMP Solar/Storage-Essex Hybrid,BES,VT,Chittenden,VT,NNE,2.0,8.0,30,44.285937,-73.023366,44.129898,-72.852348,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S69,60959,Chocksett Rd Energy Storage Project,BES,MA,Worcester,WCMA,ROP,2.0,3.9,250,42.451836,-71.737747,42.253576,-72.210192,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S70,62695,CED Northampton Solar LLC Hybrid,BES,MA,Hampshire,WCMA,ROP,2.0,4.9,249,42.3057,-72.71064,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S71,62972,Syncarpha Leicester Hybrid CSG,BES,MA,Worcester,WCMA,ROP,2.0,4.2,24,42.254281,-71.887883,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S72,62976,Syncarpha Northampton Hybrid CSG,BES,MA,Hampshire,WCMA,ROP,2.0,4.0,249,42.290526,-72.709436,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S73,63338,"Granby Solar, LLC CSG",BES,MA,Hampshire,WCMA,ROP,2.0,2.0,200,42.22712,-72.5222,42.179254,-72.45607,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S74,63804,Partridgeville Hybrid CSG,BES,MA,Worcester,WCMA,ROP,2.0,3.9,176,42.571449,-72.257389,42.571301,-72.232797,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S75,64128,Ware Palmer Road Solar LLC CSG,BES,MA,Hampshire,WCMA,ROP,2.0,4.5,250,42.247172,-72.274926,42.253576,-72.210192,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S76,66181,"Beacon Solar, LLC",BES,MA,Hampshire,WCMA,ROP,2.0,7.8,249,42.284,-72.677,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S77,66182,Town of Amherst Solar,BES,MA,Hampshire,WCMA,ROP,2.0,2.0,249,42.356,-72.479,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S78,68069,Old Frontier Solar III,BES,MA,Franklin,WCMA,ROP,2.0,2.2,98,42.494046,-72.622512,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S79,68493,Central Heating Plant,BES,MA,Hampshire,WCMA,ROP,2.0,2.0,249,42.390084,-72.537141,42.266011,-72.545972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S80,62257,Station 9 Energy Storage System,BES,MA,Norfolk,NEMA/Boston,SENE,2.0,4.2,204,42.187743,-70.976448,42.235069,-70.992625,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S81,62968,Syncarpha Tewksbury Hybrid CSG,BES,MA,Middlesex,NEMA/Boston,SENE,2.0,4.0,234,42.593706,-71.177486,42.580492,-71.18972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S82,64618,Kearsarge Haverhill,BES,MA,Essex,NEMA/Boston,SENE,2.0,9.0,234,42.75288,-71.046965,42.580492,-71.18972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S83,65174,Cranberry Highway Solar LLC,BES,MA,Plymouth,SEMA,SENE,2.0,4.5,167,41.787462,-70.745223,41.807844,-70.709968,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S84,66474,MA Blackstone,BES,MA,Worcester,SEMA,SENE,2.0,6.4,87,42.026499,-71.528503,41.793152,-71.203873,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S85,67578,Sandwich,BES,MA,Barnstable,SEMA,SENE,2.0,4.6,42,41.71775,-70.47994,41.753927,-70.556972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S86,62907,Hinesburg,BES,VT,Chittenden,VT,NNE,1.9,1.9,181,44.36115,-73.070764,44.299682,-72.60685,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S87,64185,ZPD-PT Solar Project 2017-023 LLC Hybrid,BES,MA,Worcester,WCMA,ROP,1.9,3.5,24,42.07,-72.01,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S88,63473,West A&B Solar Project Hybrid CSG,BES,MA,Worcester,WCMA,ROP,1.8,3.5,24,42.0748,-72.0038,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S89,65950,Kearsarge 100 Sohier Rd,BES,MA,Essex,NEMA/Boston,SENE,1.7,6.4,117,42.56465,-70.88105,42.532804,-70.875838,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S90,62973,Syncarpha Halifax Hybrid CSG,BES,MA,Plymouth,SEMA,SENE,1.6,3.2,84,41.983721,-70.856834,41.887646,-70.72877,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S91,64764,Madison BTM,BES,ME,Somerset,ME,Maine,1.5,3.1,211,44.804,-69.841,44.753589,-69.952129,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S92,63011,"Cronin Road Solar 1, LLC CSG Hybrid",BES,MA,Worcester,WCMA,ROP,1.5,7.7,24,42.1763,-72.154,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S93,63469,Alicea Solar Project Hybrid CSG,BES,MA,Worcester,WCMA,ROP,1.5,3.0,24,42.0686,-72.0062,42.147471,-72.140537,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S94,65242,Charlemont A,BES,MA,Franklin,WCMA,ROP,1.5,3.8,146,42.642,-72.896,42.601363,-72.539648,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
